;;;;;;Time;Utility
Dataset;k;QIs;Algorithm;Quality;Transformation;Value;Value
FARS;5;3;SANCHEZ;SSE;LOCAL_GENERALIZATION;1348.0;0.9813828943829415
FARS;5;4;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1732.0;0.8980619467628562
FARS;5;4;SANCHEZ;SSE;LOCAL_GENERALIZATION;1732.0;0.9316952968836684
FARS;5;5;SANCHEZ;LOSS;LOCAL_GENERALIZATION;2034.0;0.8797716742829487
FARS;5;5;SANCHEZ;SSE;LOCAL_GENERALIZATION;2034.0;0.9160225667038724
FARS;5;6;SANCHEZ;LOSS;LOCAL_GENERALIZATION;2345.0;0.8788338133465071
FARS;5;6;SANCHEZ;SSE;LOCAL_GENERALIZATION;2345.0;0.909349534537571
FARS;5;7;SANCHEZ;LOSS;LOCAL_GENERALIZATION;2674.0;0.7951581575225102
FARS;5;7;SANCHEZ;SSE;LOCAL_GENERALIZATION;2674.0;0.8543141900202154
FARS;5;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;3180.0;0.7460585624795859
FARS;5;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;3180.0;0.8043296258191299
ATUS;2;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;24783.0;0.9540662852477323
ATUS;2;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;24783.0;0.9595150443310339
ATUS;5;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;24793.0;0.8856719710884597
ATUS;5;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;24793.0;0.9176554049081753
ATUS;5;1;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1426.0;0.9999907279143556
ATUS;5;1;SANCHEZ;SSE;LOCAL_GENERALIZATION;1426.0;0.9999884571166493
ATUS;5;2;SANCHEZ;LOSS;LOCAL_GENERALIZATION;3840.0;0.9994082072491759
ATUS;5;2;SANCHEZ;SSE;LOCAL_GENERALIZATION;3840.0;0.9992682420423891
ATUS;5;4;SANCHEZ;LOSS;LOCAL_GENERALIZATION;7741.0;0.9915150630294384
ATUS;5;4;SANCHEZ;SSE;LOCAL_GENERALIZATION;7741.0;0.9953930028502606
ATUS;5;5;SANCHEZ;LOSS;LOCAL_GENERALIZATION;10091.0;0.9811252167014225
ATUS;5;5;SANCHEZ;SSE;LOCAL_GENERALIZATION;10091.0;0.9879287684109743
ATUS;5;7;SANCHEZ;LOSS;LOCAL_GENERALIZATION;17594.0;0.950541251126229
ATUS;5;7;SANCHEZ;SSE;LOCAL_GENERALIZATION;17594.0;0.9669508493157516
ATUS;5;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;18388.0;0.9059369902998733
ATUS;5;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;18388.0;0.9361490342289439
ATUS;5;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;25585.0;0.8856719710884597
ATUS;5;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;25585.0;0.9176554049081753
IHIS;3;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;52826.0;0.7498206289015907
IHIS;3;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;52826.0;0.827537673348115
IHIS;5;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;52817.0;0.6335646432463599
IHIS;5;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;52817.0;0.7722787039057063
IHIS;10;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;51840.0;0.4999967684177391
IHIS;10;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;51840.0;0.7144498037087241
IHIS;5;1;SANCHEZ;LOSS;LOCAL_GENERALIZATION;2408.0;0.9999961597670948
IHIS;5;1;SANCHEZ;SSE;LOCAL_GENERALIZATION;2408.0;0.9999949930015818
IHIS;5;2;SANCHEZ;LOSS;LOCAL_GENERALIZATION;5259.0;0.9999499024161908
IHIS;5;2;SANCHEZ;SSE;LOCAL_GENERALIZATION;5259.0;0.9999224188738639
IHIS;5;3;SANCHEZ;LOSS;LOCAL_GENERALIZATION;8523.0;0.999775753672473
IHIS;5;3;SANCHEZ;SSE;LOCAL_GENERALIZATION;8523.0;0.9996689702278057
IHIS;5;4;SANCHEZ;LOSS;LOCAL_GENERALIZATION;18673.0;0.99812446516029
IHIS;5;4;SANCHEZ;SSE;LOCAL_GENERALIZATION;18673.0;0.999000780982951
IHIS;5;5;SANCHEZ;LOSS;LOCAL_GENERALIZATION;38311.0;0.9470702472981852
IHIS;5;5;SANCHEZ;SSE;LOCAL_GENERALIZATION;38311.0;0.9669916533760616
IHIS;5;6;SANCHEZ;LOSS;LOCAL_GENERALIZATION;36822.0;0.9013312905521335
IHIS;5;6;SANCHEZ;SSE;LOCAL_GENERALIZATION;36822.0;0.9385318066874307
IHIS;5;7;SANCHEZ;LOSS;LOCAL_GENERALIZATION;45609.0;0.8317681643568458
IHIS;5;7;SANCHEZ;SSE;LOCAL_GENERALIZATION;45609.0;0.8987354651413824
IHIS;5;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;48703.0;0.773250064717915
IHIS;5;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;48703.0;0.8565413936789155
IHIS;5;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;50624.0;0.6335646432463599
IHIS;5;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;50624.0;0.7722787039057063
ADULT;2;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1153.0;0.8544818426838863
ADULT;2;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;1153.0;0.8176296508709799
ADULT;3;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1118.0;0.7691777489407945
ADULT;3;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;1118.0;0.7473920872817308
ADULT;5;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1085.0;0.6667737761599859
