;;;;;;Time;Utility
Dataset;k;QIs;Algorithm;Quality;Transformation;Value;Value
ADULT;2;9;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;3502877.0;0.8926092147713158
ADULT;3;9;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;2473630.0;0.8027619409032639
ADULT;3;9;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;2473630.0;0.8819444572543205
ADULT;5;9;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1582214.0;0.7876477136696575
ADULT;5;9;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1582214.0;0.8658223624210601
ADULT;10;9;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;861230.0;0.7614416478987664
ADULT;10;9;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;861230.0;0.8385402246412668
ADULT;5;1;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;12933.0;1.0
ADULT;5;1;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;12933.0;1.0
ADULT;5;2;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;25538.0;0.9948191778410311
ADULT;5;2;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;25538.0;0.9978367954597684
ADULT;5;3;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;48812.0;0.9950498585803018
ADULT;5;3;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;48812.0;0.997617848397951
ADULT;5;4;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;114458.0;0.9368484777019107
ADULT;5;4;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;114458.0;0.9695684873221923
ADULT;5;5;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;333622.0;0.9135755338712803
ADULT;5;5;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;333622.0;0.9520937803441314
