;;;;;;Time;Utility
Dataset;k;QIs;Algorithm;Quality;Transformation;Value;Value
ADULT;5;4;SDCMICRO;LOSS;CELL_SUPPRESSION;8154.0;0.9846329818977522
ADULT;5;4;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;8154.0;0.9606099003117714
ADULT;5;5;SDCMICRO;LOSS;CELL_SUPPRESSION;63223.0;0.9457529341555599
ADULT;5;5;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;63223.0;0.8729259758382715
ADULT;5;6;SDCMICRO;LOSS;CELL_SUPPRESSION;120016.0;0.9345202572773689
ADULT;5;6;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;120016.0;0.8329666617410504
ADULT;5;7;SDCMICRO;LOSS;CELL_SUPPRESSION;276314.0;0.9125010656739322
ADULT;5;7;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;276314.0;0.7725176707962033
ADULT;5;8;SDCMICRO;LOSS;CELL_SUPPRESSION;779278.0;0.856288541873881
ADULT;5;8;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;779278.0;0.6785517890693025
ADULT;5;9;SDCMICRO;LOSS;CELL_SUPPRESSION;1011687.0;0.8570570769695496
ADULT;5;9;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;1011687.0;0.663406787799032
CUP;5;1;SDCMICRO;LOSS;CELL_SUPPRESSION;128476.0;0.7569710439621065
CUP;5;1;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;128476.0;0.7598593672242386
CUP;5;2;SDCMICRO;LOSS;CELL_SUPPRESSION;1310112.0;0.49972415315017105
CUP;5;2;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;1310112.0;0.3141435943837362
CUP;5;3;SDCMICRO;LOSS;CELL_SUPPRESSION;1865603.0;0.6657261602643927
CUP;5;3;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;1865603.0;0.3511683163122662
CUP;5;4;SDCMICRO;LOSS;CELL_SUPPRESSION;2508505.0;0.7454445863085386
CUP;5;4;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;2508505.0;0.42509926082232385
FARS;5;1;SDCMICRO;LOSS;CELL_SUPPRESSION;3993.0;1.0
FARS;5;1;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;3993.0;1.0
FARS;5;2;SDCMICRO;LOSS;CELL_SUPPRESSION;6335.0;0.9944817064109296
FARS;5;2;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;6335.0;0.9909359540288536
FARS;5;3;SDCMICRO;LOSS;CELL_SUPPRESSION;38580.0;0.9835540981007955
FARS;5;3;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;38580.0;0.9688979554857192
FARS;5;4;SDCMICRO;LOSS;CELL_SUPPRESSION;938025.0;0.8955189870909577
FARS;5;4;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;938025.0;0.8063494166642454
FARS;5;5;SDCMICRO;LOSS;CELL_SUPPRESSION;1355892.0;0.9083190504968446
FARS;5;5;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;1355892.0;0.8053076955054063
FARS;5;6;SDCMICRO;LOSS;CELL_SUPPRESSION;1857524.0;0.9155975179237213
FARS;5;6;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;1857524.0;0.8095953464527647
ATUS;5;1;SDCMICRO;LOSS;CELL_SUPPRESSION;8433.0;1.0
ATUS;5;1;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;8433.0;1.0
ATUS;5;2;SDCMICRO;LOSS;CELL_SUPPRESSION;10882.0;1.0
ATUS;5;2;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;10882.0;1.0
ATUS;5;3;SDCMICRO;LOSS;CELL_SUPPRESSION;11564.0;1.0
ATUS;5;3;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;11564.0;1.0
ATUS;5;4;SDCMICRO;LOSS;CELL_SUPPRESSION;118682.0;0.9976416450163467
ATUS;5;4;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;118682.0;0.9933617384897919
ATUS;5;5;SDCMICRO;LOSS;CELL_SUPPRESSION;378411.0;0.9955809239818786
ATUS;5;5;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;378411.0;0.9876196572262892
ATUS;5;6;SDCMICRO;LOSS;CELL_SUPPRESSION;1415296.0;0.9924519041464149
ATUS;5;6;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;1415296.0;0.9770039960356709
IHIS;5;1;SDCMICRO;LOSS;CELL_SUPPRESSION;46661.0;1.0
IHIS;5;1;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;46661.0;1.0
IHIS;5;2;SDCMICRO;LOSS;CELL_SUPPRESSION;283593.0;1.0
IHIS;5;2;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;283593.0;1.0
IHIS;5;3;SDCMICRO;LOSS;CELL_SUPPRESSION;194237.0;1.0
IHIS;5;3;SDCMICRO;NUENTROPY;CELL_SUPPRESSION;194237.0;1.0
