;;;;;;Time;Utility
Dataset;k;QIs;Algorithm;Quality;Transformation;Value;Value
CUP;5;2;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1295.0;0.9620424198430323
CUP;5;2;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1295.0;0.9409868854575427
CUP;5;3;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1420.0;0.9622787678837048
CUP;5;3;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1420.0;0.9689728338989849
CUP;5;4;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;2247.0;0.9628804329468194
CUP;5;4;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;2247.0;0.9514658848746756
CUP;5;5;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;2761.0;0.9454297366740771
CUP;5;5;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;2761.0;0.9594973043481494
CUP;5;6;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;5366.0;0.9332085151026026
CUP;5;6;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;5366.0;0.8208444688770125
CUP;5;7;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;16941.0;0.7931355414569969
CUP;5;7;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;16941.0;0.8958611169365047
CUP;5;8;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;69343.0;0.8250704923692207
CUP;5;8;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;69343.0;0.8892600815448773
CUP;2;8;ARX;LOSS;LOCAL_GENERALIZATION;96954.0;0.9865556826753451
CUP;2;8;ARX;SSE;LOCAL_GENERALIZATION;96954.0;0.9838464412905783
CUP;3;8;ARX;LOSS;LOCAL_GENERALIZATION;91495.0;0.9784318410073533
CUP;3;8;ARX;SSE;LOCAL_GENERALIZATION;91495.0;0.9775366957796243
CUP;5;8;ARX;SSE;LOCAL_GENERALIZATION;87329.0;0.9696765737938832
CUP;5;8;ARX;LOSS;LOCAL_GENERALIZATION;87329.0;0.9697232929716546
CUP;10;8;ARX;LOSS;LOCAL_GENERALIZATION;110651.0;0.9535320198258708
CUP;10;8;ARX;SSE;LOCAL_GENERALIZATION;110651.0;0.9601728725476953
CUP;5;1;ARX;SSE;LOCAL_GENERALIZATION;1232.0;0.9990681950609288
CUP;5;1;ARX;LOSS;LOCAL_GENERALIZATION;1232.0;0.9991309286194925
CUP;5;2;ARX;SSE;LOCAL_GENERALIZATION;1669.0;0.9928950843662565
CUP;5;2;ARX;LOSS;LOCAL_GENERALIZATION;1669.0;0.9951393603459822
CUP;5;3;ARX;LOSS;LOCAL_GENERALIZATION;1934.0;0.9923778327400983
CUP;5;3;ARX;SSE;LOCAL_GENERALIZATION;1934.0;0.991114574210586
CUP;5;4;ARX;LOSS;LOCAL_GENERALIZATION;2808.0;0.9830875177165215
CUP;5;4;ARX;SSE;LOCAL_GENERALIZATION;2808.0;0.9751429749459944
CUP;5;5;ARX;LOSS;LOCAL_GENERALIZATION;3915.0;0.980608407174126
CUP;5;5;ARX;SSE;LOCAL_GENERALIZATION;3915.0;0.9693594986373486
CUP;5;6;ARX;LOSS;LOCAL_GENERALIZATION;7176.0;0.9773146782959079
CUP;5;6;ARX;SSE;LOCAL_GENERALIZATION;7176.0;0.9652811504813721
CUP;5;7;ARX;LOSS;LOCAL_GENERALIZATION;22323.0;0.9714187392573188
CUP;5;7;ARX;SSE;LOCAL_GENERALIZATION;22323.0;0.9637986732481858
CUP;5;8;ARX;SSE;LOCAL_GENERALIZATION;87423.0;0.9696765737938832
CUP;5;8;ARX;LOSS;LOCAL_GENERALIZATION;87423.0;0.9697232929716546
FARS;2;8;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;8143.0;0.9646765943692912
FARS;2;8;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;8143.0;0.9711780480240078
FARS;3;8;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;13135.0;0.963479469498975
FARS;3;8;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;13135.0;0.9592929866395775
FARS;5;8;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;17457.0;0.9523655080892802
FARS;5;8;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;17457.0;0.9477827520862503
FARS;10;8;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;28642.0;0.9310445288063157
FARS;10;8;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;28642.0;0.9367425195918136
FARS;5;1;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;577.0;1.0
FARS;5;1;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;577.0;1.0
FARS;5;2;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;671.0;0.9988053564891227
FARS;5;2;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;671.0;0.9992471069739692
FARS;5;3;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;780.0;0.9942176699836385
FARS;5;3;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;780.0;0.9950587478065871
FARS;5;4;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1264.0;0.9848389191174298
FARS;5;4;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1264.0;0.9852087124480365
FARS;5;5;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1560.0;0.981758265177155
FARS;5;5;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1560.0;0.9756239428035695
FARS;5;6;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;2169.0;0.9804631690902027
FARS;5;6;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;2169.0;0.9753281150667564
FARS;5;7;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;10343.0;0.9497405161716562
FARS;5;7;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;10343.0;0.9477633714595507
FARS;5;8;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;17534.0;0.9523655080892802
FARS;5;8;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;17534.0;0.9477827520862503
FARS;2;8;ARX;LOSS;LOCAL_GENERALIZATION;11841.0;0.9901253319861602
FARS;2;8;ARX;SSE;LOCAL_GENERALIZATION;11841.0;0.9859845919035339
FARS;3;8;ARX;LOSS;LOCAL_GENERALIZATION;18626.0;0.9845028686851469
FARS;3;8;ARX;SSE;LOCAL_GENERALIZATION;18626.0;0.980391990107077
FARS;5;8;ARX;LOSS;LOCAL_GENERALIZATION;23322.0;0.9757830481562327
FARS;5;8;ARX;SSE;LOCAL_GENERALIZATION;23322.0;0.9717255627340433
FARS;10;8;ARX;LOSS;LOCAL_GENERALIZATION;35521.0;0.9635537745903628
FARS;10;8;ARX;SSE;LOCAL_GENERALIZATION;35521.0;0.9598849408092462
FARS;5;1;ARX;SSE;LOCAL_GENERALIZATION;609.0;1.0
FARS;5;1;ARX;LOSS;LOCAL_GENERALIZATION;609.0;1.0
